student_id,name,age,math,science,english,attendance_%,grade,average_marks
101,Aarav Sharma,17,85.0,90.0,78.0,92.0,A,84.33
102,Priya Patel,18,75.75,76.0,88.0,85.0,B,79.92
103,Rohit Kumar,17,72.0,77.58,65.0,70.0,C,71.53
104,Sneha Joshi,19,91.0,95.0,92.0,98.0,A,92.67
105,Arjun Mehta,18,55.0,60.0,50.0,60.0,D,55.0
106,Divya Nair,17,88.0,82.0,73.85,88.0,B,81.28
108,Meera Reddy,19,77.0,80.0,75.0,91.0,B,77.33
110,Pooja Gupta,18,95.0,97.0,93.0,99.0,A,95.0
112,Ananya Das,17,79.0,83.0,81.0,87.0,B,81.0
113,Vikas Yadav,18,66.0,70.0,68.0,77.31,C,68.0
114,Lakshmi Iyer,19,90.0,88.0,85.0,95.0,A,87.67
